BankID,Bank,Place
B00512,Banco Coomeva, Colombia
B00513,Banco Cooperativo do Brasil, Brazil
B00514,Banco Cooperativo Espanol, Spain
B00515,Banco Cooperativo Sicredi, Brazil
B00516,Banco CoopNacional, Ecuador
B00517,Banco Corficolombiana Panama, Panama
B00518,Banco CorpBanca Colombia, Colombia
B00519,Banco Credicoop, Argentina
B00520,Banco Credit Agricole Brasil, Brazil
B00521,Banco Credito Agricola de Cartago, Costa Rica
B00522,Banco D Miro, Ecuador
B00523,Banco da Amazonia, Brazil
B00524,Banco Davivienda, Colombia
B00525,Banco Davivienda Costa Rica, Costa Rica
B00526,Banco Davivienda El Salvador, El Salvador
B00527,Banco Davivienda Honduras, Honduras
B00528,Banco Davivienda Panama, Panama
B00529,Banco Daycoval, Brazil
B00530,Banco de America Central Bahamas, Bahamas
B00531,Banco de America Central El Salvador, El Salvador
B00532,Banco de America Central Guatemala, Guatemala
B00533,Banco de America Central Honduras, Honduras
B00534,Banco de America Central Nicaragua, Nicaragua
B00535,Banco de America Central Panama, Panama
B00536,Banco de America Central San Jose, Costa Rica
B00537,Banco de Antigua, Guatemala
B00538,Banco de Bogota, Colombia
B00539,Banco de Bogota Panama, Panama
B00540,Banco de Brasilia, Brazil
B00541,Banco de Caja Espana de Inversiones, Spain
B00542,Banco de Chile, Chile
B00543,Banco de Comercio, Peru
B00544,Banco de Comercio Exterior, Venezuela
B00545,Banco de Cordoba, Argentina
B00546,Banco de Corrientes, Argentina
B00547,Banco de Costa Rica, Costa Rica
B00548,Banco de Credito, Guatemala
B00549,Banco de Credito de Bolivia, Bolivia
B00550,Banco de Credito del Peru, Peru
B00551,Banco de Credito del Peru Panama, Panama
B00552,Banco de Credito e Inversiones, Chile
B00553,Banco de Credito y Comercio, Cuba
B00554,Banco de Credito y Securitazacion, Argentina
B00555,Banco de Desarrollo Rural, Guatemala
B00556,Banco de Exportacion y Comercio, Venezuela
B00557,Banco de Finanzas, Nicaragua
B00558,Banco de Fomento a la Produccion, Nicaragua
B00559,Banco de Fomento Agropecuario, El Salvador
B00560,Banco de Fomento Angola, Angola
B00561,Banco de Galicia, Argentina
B00562,Banco de Honduras, Honduras
B00563,Banco de Honduras, Honduras
B00564,Banco de Inversion y Comercio Exterior, Argentina
B00565,Banco de Inversiones, Cuba
B00566,Banco de Investimento Imobiliario, Portugal
B00567,Banco de la Ciudad de Buenos Aires, Argentina
B00568,Banco de la Nacion, Peru
B00569,Banco de la Nacion Argentina, Argentina
B00570,Banco de la Nacion Argentina Bolivia, Bolivia
B00571,Banco de la Nacion Argentina Chile, Chile
B00572,Banco de la Nacion Argentina Panama, Panama
B00573,Banco de la Nacion Argentina Paraguay, Paraguay
B00574,Banco de la Nacion Argentina Uruguay, Uruguay
B00575,Banco de La Pampa, Argentina
B00576,Banco de la Produccion, Nicaragua
B00577,Banco de la Provincia de Buenos Aires, Argentina
B00578,Banco de la Republica, Uruguay
B00579,Banco de la Republica Oriental del Uruguay, Argentina
B00580,Banco de las Microfinanzas, Colombia
B00581,Banco de Loja, Ecuador
B00582,Banco de los Trabajadores, Guatemala
B00583,Banco de los Trabajadores, Honduras
B00584,Banco de Machala, Ecuador
B00585,Banco de Negocios Internacional, Angola
B00586,Banco de Occidente, Colombia
B00587,Banco de Occidente Honduras, Honduras
B00588,Banco de Occidente Panama, Panama
B00589,Banco de Poupanca e Credito, Angola
B00590,Banco de Reservas de la Republica Dominicana, Dominican Republic
B00591,Banco de Sabadell, Spain
B00592,Banco de San Juan, Argentina
B00593,Banco de Servicios y Transacciones, Argentina
B00594,Banco de Soluciones de Costa Rica, Costa Rica
B00595,Banco de Tierra del Fuego, Argentina
B00596,Banco de Valores, Argentina
B00597,Banco de Venezuela, Venezuela
B00598,Banco del Ahorro Nacional y Servicios Financieros, Mexico
B00599,Banco del Austro, Ecuador
B00600,Banco del Bajio, Mexico
B00601,Banco del Caribe, Venezuela
B00602,Banco del Chubut, Argentina
B00603,Banco del Estado de Chile, Chile
B00604,Banco del Litoral, Ecuador
B00605,Banco del Pacifico, Ecuador
B00606,Banco del Pacifico Panama, Panama
B00607,Banco del Pais, Honduras
B00608,Banco del Pichincha Spain, Spain
B00609,Banco del Pueblo Soberano, Venezuela
B00610,Banco del Sol, Argentina
B00611,Banco del Sur, Venezuela
B00612,Banco del Tesoro, Venezuela
B00613,Banco del Tucuman, Argentina
B00614,Banco Delta, Panama
B00615,Banco Delta Asia, Macao
B00616,Banco di Caribe, Netherlands Antilles
B00617,Banco di Desio e della Brianza, Italy
B00618,Banco di Napoli, Italy
B00619,Banco di Sardegna, Italy
B00620,Banco do Brasil, Brazil
B00621,Banco do Brasil Argentina, Argentina
B00622,Banco do Brasil Bolivia, Bolivia
B00623,Banco do Brasil Chile, Chile
B00624,Banco do Brasil Paraguay, Paraguay
B00625,Banco do Estado de Sergipe, Brazil
B00626,Banco do Estado do Espirito Santo, Brazil
B00627,Banco do Estado do Para, Brazil
B00628,Banco do Estado do Rio Grande do Sul, Brazil
B00629,Banco do Nordeste do Brasil, Brazil
B00630,Banco Dominicano del Progreso, Dominican Republic
B00631,Banco Economico, Bolivia
B00632,Banco Espanol de Credito, Spain
B00633,Banco Espirito Santo, Portugal
B00634,Banco Espirito Santo Angola, Angola
B00635,Banco Espirito Santo Cape Verde, Cape Verde
B00636,Banco Espirito Santo do Oriente, Macao
B00637,Banco Espirito Santo Venezuela, Venezuela
B00638,Banco Exterior, Venezuela
B00639,Banco Exterior de Cuba, Cuba
B00640,Banco Falabella, Chile
B00641,Banco Falabella Colombia, Colombia
B00642,Banco Falabella Peru, Peru
B00643,Banco Familiar, Paraguay
B00644,Banco Fibra, Brazil
B00645,Banco Fichosa Panama, Panama
B00646,Banco Ficohsa Guatemala, Guatemala
B00647,Banco Financiera Centroamericana, Honduras
B00648,Banco Financiero Comercial Hondurena, Honduras
B00649,Banco Financiero del Peru, Peru
B00650,Banco Financiero Internacional, Cuba
B00651,Banco Financiero y de Ahorros Group, Spain
B00652,Banco Finandina, Colombia
B00653,Banco Finansur, Argentina
B00654,Banco Finantia, Portugal
B00655,Banco Finca, Ecuador
B00656,Banco Fondo Comun, Venezuela
B00657,Banco Forjadores, Mexico
B00658,Banco Formosa, Argentina
B00659,Banco G&T Continental, Guatemala
B00660,Banco G&T Continental El Salvador, El Salvador
B00661,Banco G&T Continental Panama, Panama
B00662,Banco Gallego, Spain
B00663,Banco Ganadero, Bolivia
B00664,Banco General, Panama
B00665,Banco General Costa Rica, Costa Rica
B00666,Banco General Ruminahui, Ecuador
B00667,Banco GNB Peru, Peru
B00668,Banco GNB Sudameris, Colombia
B00669,Banco Grupo Cajatres, Spain
B00670,Banco Guanabara, Brazil
B00671,Banco Hipotecario, Argentina
B00672,Banco Hipotecario de El Salvador, El Salvador
B00673,Banco Hipotecario de la Vivienda, Costa Rica
B00674,Banco Hipotecario del Uruguay, Uruguay
B00675,Banco Hondureno del Cafe, Honduras
B00676,Banco IBI, Brazil
B00677,Banco Improsa, Costa Rica
B00678,Banco Inbursa, Mexico
B00679,Banco Industrial, Guatemala
B00680,Banco Industrial, Argentina
B00681,Banco Industrial de Venezuela, Venezuela
B00682,Banco Industrial do Brasil, Brazil
B00683,Banco Industrial e Comercial, Brazil
B00684,Banco Industrial El Salvador, El Salvador
B00685,Banco Inmobiliario, Guatemala
B00686,Banco Interamericano de Finanza, Peru
